"nationality","region","unit","month","time","Overnight stays"
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of overnight stays","Total","2020",36331
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of overnight stays","Total","2021",36480
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of overnight stays","Total","2022",61125
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of overnight stays","Total","2023",53318
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of overnight stays","Total","2024",39900
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of guests","Total","2020",13840
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of guests","Total","2021",13624
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of guests","Total","2022",24635
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of guests","Total","2023",22158
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Number of guests","Total","2024",18707
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Average overnight stays per guest","Total","2020",2.6
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Average overnight stays per guest","Total","2021",2.7
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Average overnight stays per guest","Total","2022",2.5
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Average overnight stays per guest","Total","2023",2.4
"Greenland","Avannaata Kommunia and Kommune Qeqertalik","Average overnight stays per guest","Total","2024",2.1
"Greenland","Ilulissat (*)","Number of overnight stays","Total","2020",25094
"Greenland","Ilulissat (*)","Number of overnight stays","Total","2021",25936
"Greenland","Ilulissat (*)","Number of overnight stays","Total","2022",44042
"Greenland","Ilulissat (*)","Number of overnight stays","Total","2023",41881
"Greenland","Ilulissat (*)","Number of overnight stays","Total","2024",33562
"Greenland","Ilulissat (*)","Number of guests","Total","2020",9433
"Greenland","Ilulissat (*)","Number of guests","Total","2021",9908
"Greenland","Ilulissat (*)","Number of guests","Total","2022",18870
"Greenland","Ilulissat (*)","Number of guests","Total","2023",17732
"Greenland","Ilulissat (*)","Number of guests","Total","2024",15453
"Greenland","Ilulissat (*)","Average overnight stays per guest","Total","2020",2.7
"Greenland","Ilulissat (*)","Average overnight stays per guest","Total","2021",2.6
"Greenland","Ilulissat (*)","Average overnight stays per guest","Total","2022",2.3
"Greenland","Ilulissat (*)","Average overnight stays per guest","Total","2023",2.4
"Greenland","Ilulissat (*)","Average overnight stays per guest","Total","2024",2.2
"Greenland","Qeqqata Kommunia","Number of overnight stays","Total","2020",21837
"Greenland","Qeqqata Kommunia","Number of overnight stays","Total","2021",21969
"Greenland","Qeqqata Kommunia","Number of overnight stays","Total","2022",32329
"Greenland","Qeqqata Kommunia","Number of overnight stays","Total","2023",31699
"Greenland","Qeqqata Kommunia","Number of overnight stays","Total","2024",23705
"Greenland","Qeqqata Kommunia","Number of guests","Total","2020",9976
"Greenland","Qeqqata Kommunia","Number of guests","Total","2021",8611
"Greenland","Qeqqata Kommunia","Number of guests","Total","2022",17205
"Greenland","Qeqqata Kommunia","Number of guests","Total","2023",16667
"Greenland","Qeqqata Kommunia","Number of guests","Total","2024",12167
"Greenland","Qeqqata Kommunia","Average overnight stays per guest","Total","2020",2.2
"Greenland","Qeqqata Kommunia","Average overnight stays per guest","Total","2021",2.6
"Greenland","Qeqqata Kommunia","Average overnight stays per guest","Total","2022",1.9
"Greenland","Qeqqata Kommunia","Average overnight stays per guest","Total","2023",1.9
"Greenland","Qeqqata Kommunia","Average overnight stays per guest","Total","2024",1.9
"Greenland","Kommune Kujalleq","Number of overnight stays","Total","2020",20937
"Greenland","Kommune Kujalleq","Number of overnight stays","Total","2021",25427
"Greenland","Kommune Kujalleq","Number of overnight stays","Total","2022",27095
"Greenland","Kommune Kujalleq","Number of overnight stays","Total","2023",28734
"Greenland","Kommune Kujalleq","Number of overnight stays","Total","2024",34750
"Greenland","Kommune Kujalleq","Number of guests","Total","2020",7871
"Greenland","Kommune Kujalleq","Number of guests","Total","2021",10200
"Greenland","Kommune Kujalleq","Number of guests","Total","2022",12186
"Greenland","Kommune Kujalleq","Number of guests","Total","2023",13391
"Greenland","Kommune Kujalleq","Number of guests","Total","2024",15336
"Greenland","Kommune Kujalleq","Average overnight stays per guest","Total","2020",2.7
"Greenland","Kommune Kujalleq","Average overnight stays per guest","Total","2021",2.5
"Greenland","Kommune Kujalleq","Average overnight stays per guest","Total","2022",2.2
"Greenland","Kommune Kujalleq","Average overnight stays per guest","Total","2023",2.1
"Greenland","Kommune Kujalleq","Average overnight stays per guest","Total","2024",2.3
"Greenland","Kommuneqarfik Sermersooq Vest","Number of overnight stays","Total","2020",41803
"Greenland","Kommuneqarfik Sermersooq Vest","Number of overnight stays","Total","2021",51915
"Greenland","Kommuneqarfik Sermersooq Vest","Number of overnight stays","Total","2022",61881
"Greenland","Kommuneqarfik Sermersooq Vest","Number of overnight stays","Total","2023",64934
"Greenland","Kommuneqarfik Sermersooq Vest","Number of overnight stays","Total","2024",65342
"Greenland","Kommuneqarfik Sermersooq Vest","Number of guests","Total","2020",11981
"Greenland","Kommuneqarfik Sermersooq Vest","Number of guests","Total","2021",15891
"Greenland","Kommuneqarfik Sermersooq Vest","Number of guests","Total","2022",21972
"Greenland","Kommuneqarfik Sermersooq Vest","Number of guests","Total","2023",21987
"Greenland","Kommuneqarfik Sermersooq Vest","Number of guests","Total","2024",22646
"Greenland","Kommuneqarfik Sermersooq Vest","Average overnight stays per guest","Total","2020",3.5
"Greenland","Kommuneqarfik Sermersooq Vest","Average overnight stays per guest","Total","2021",3.3
"Greenland","Kommuneqarfik Sermersooq Vest","Average overnight stays per guest","Total","2022",2.8
"Greenland","Kommuneqarfik Sermersooq Vest","Average overnight stays per guest","Total","2023",3.0
"Greenland","Kommuneqarfik Sermersooq Vest","Average overnight stays per guest","Total","2024",2.9
"Greenland","Kommuneqarfik Sermersooq Øst","Number of overnight stays","Total","2020",784
